	VISION_HEADER	Header1		Vision
	VISION_TEXT	Text		Zu aller erst: Ist für in den folgenden drei Zielformulierungen jene Welt erkennbar, die du dir wünschst? 
	VISION_GOALS	Particle		"Freie Entfaltung für tiefgründige Zufriedenheit eines jeden Menschen
Synergetisches Miteinander und Frieden in der Welt
Ressourcenreichhaltigkeit im Einklang mit den Ökosystemen der Erde"
	I_HEADER	Header1		1 Der einzelne Mensch und sein Bewusstsein über sich selbst 
	I_INTROHEADER	Intro		Einführung
	I_INTROTEXT	Text		"In diesem Abschnitt geht es um unser Bewusstsein über uns als einzelne Menschen.
Wir sind zwar Einzelne, aber wir sind nicht isoliert voneinander. Wir sind verwoben mit allem, was uns umgibt.
Alles das - egal ob es physisch, sozial, mental, spirituell oder Sonstiges ist - bezeichnen wir als UMWELT.  […]"
	I_ENVIRO_HEADER	Header2		Interaktion mit der Umwelt
	I_ENVIRO_CONNECTED	Particle	1	Jeder Mensch ist mit seiner Umwelt verwoben.
	I_ENVIRO_INTERDEP	Particle	2	Wir stehen stets in Wechselwirkung mit unserer Umwelt: Was wir tun, wirkt sich auf andere Menschen und alles andere in unserer Umwelt aus – was andere Menschen tun und auch sonst in unserer Umwelt geschieht, wirkt sich auf uns aus.
	I_NEEDS_HEADER	Header2		Bedürfnisse – Die Perspektive des Individuums
	I_NEEDS_STRIVE4SATIS	Particle	1	Wir Menschen versuchen zu jedem Zeitpunkt unserer Existenz, über die Erfüllung unserer Bedürfnisse, persönliche Zufriedenheit zu erreichen.
	I_NEEDS_FEELINGS	Particle	2	Unsere Gefühle sind die emotionale Verbindung zu unseren Bedürfnissen.
	I_NEEDS_MOTIVBYNEEDS	Particle	3	Jegliche Handlung eines Menschen – ob bewusst oder unbewusst, ob in uns oder unserer Umwelt - sind versuchte Strategien zur Befriedigung eiengener Bedürfnisse.
	I_NEEDS_DEEPESTMOTIV	Particle	4	Die tiefste Motivation eines jeden Menschen ist stets die Erfüllung von Bedürfnissen; nie die Schädigung anderer Menschen oder sonstiger Elemente seiner Umwelt.
	I_NEEDS_STRATSOURCE	Particle	5	Wir können nur auf Handlungsstrategien zurückgreifen, die wir gesehen, erlebt, erlernt oder neu kombiniert haben. Jederzeit testen, verfeinern oder verwerfen wir unsere Handlungsstrategien - bewusst wie unbewusst.
